Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
path,github.com/Foulest/RepairKit,https://sourcegraph.com/github.com/Foulest/RepairKit,jre/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/Foulest/RepairKit/-/blob/jre/lib/security/public_suffix_list.dat,"[jre/lib/security/public_suffix_list.dat, [[17, 39]]]",
path,github.com/sandialabs/scot,https://sourcegraph.com/github.com/sandialabs/scot,etc/public_suffix_list.dat,https://sourcegraph.com/github.com/sandialabs/scot/-/blob/etc/public_suffix_list.dat,"[etc/public_suffix_list.dat, [[4, 26]]]",
path,github.com/jeremykendall/php-domain-parser,https://sourcegraph.com/github.com/jeremykendall/php-domain-parser,test_data/public_suffix_list.dat,https://sourcegraph.com/github.com/jeremykendall/php-domain-parser/-/blob/test_data/public_suffix_list.dat,"[test_data/public_suffix_list.dat, [[10, 32]]]",
path,github.com/boostorg/url,https://sourcegraph.com/github.com/boostorg/url,example/suffix_list/public_suffix_list.dat,https://sourcegraph.com/github.com/boostorg/url/-/blob/example/suffix_list/public_suffix_list.dat,"[example/suffix_list/public_suffix_list.dat, [[20, 42]]]",
path,github.com/FTBTeam/FTB-App,https://sourcegraph.com/github.com/FTBTeam/FTB-App,overwolf/jdk-21.0.3+9-jre/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/FTBTeam/FTB-App/-/blob/overwolf/jdk-21.0.3%2B9-jre/lib/security/public_suffix_list.dat,"[overwolf/jdk-21.0.3+9-jre/lib/security/public_suffix_list.dat, [[39, 61]]]",
path,github.com/Yubico/python-fido2,https://sourcegraph.com/github.com/Yubico/python-fido2,fido2/public_suffix_list.dat,https://sourcegraph.com/github.com/Yubico/python-fido2/-/blob/fido2/public_suffix_list.dat,"[fido2/public_suffix_list.dat, [[6, 28]]]",
path,github.com/rushmorem/publicsuffix,https://sourcegraph.com/github.com/rushmorem/publicsuffix,tests/public_suffix_list.dat,https://sourcegraph.com/github.com/rushmorem/publicsuffix/-/blob/tests/public_suffix_list.dat,"[tests/public_suffix_list.dat, [[6, 28]]]",
path,github.com/DNS-OARC/dsc,https://sourcegraph.com/github.com/DNS-OARC/dsc,src/test/public_suffix_list.dat,https://sourcegraph.com/github.com/DNS-OARC/dsc/-/blob/src/test/public_suffix_list.dat,"[src/test/public_suffix_list.dat, [[9, 31]]]",
path,github.com/richardpenman/whois,https://sourcegraph.com/github.com/richardpenman/whois,whois/data/public_suffix_list.dat,https://sourcegraph.com/github.com/richardpenman/whois/-/blob/whois/data/public_suffix_list.dat,"[whois/data/public_suffix_list.dat, [[11, 33]]]",
path,github.com/myscale/MyScaleDB,https://sourcegraph.com/github.com/myscale/MyScaleDB,tests/config/top_level_domains/public_suffix_list.dat,https://sourcegraph.com/github.com/myscale/MyScaleDB/-/blob/tests/config/top_level_domains/public_suffix_list.dat,"[tests/config/top_level_domains/public_suffix_list.dat, [[31, 53]]]",
