Project PSL,Matched Version,Star Count,Fork Count,Static or Dynamic
seomoz_publicsuffix-elixir.dat,1519423842_public_suffix_list.dat,42,24,dynamic
sgidevnet_sgug-rse.dat,1555355712_public_suffix_list.dat,62,20,dynamic
sgtest_pinned-aws-cdk.dat,1524186622_public_suffix_list.dat,0,0,static
shmilylty_OneForAll.dat,Unknown,,,
shy-neon_Favman.dat,1593288105_public_suffix_list.dat,407,11,static
sleuthkit_autopsy.dat,1606040365_public_suffix_list.dat,2450,597,static
SpaceExplorationTechnologies_starlink-wifi-gen2.dat,Unknown,,,
SpaceExplorationTechnologies_starlink-wifi.dat,Unknown,,,
square_okhttp.dat,Unknown,,,
StractOrg_stract.dat,Unknown,,,
Stratus-Security_Subdominator.dat,Unknown,,,
Strimoid_Strimoid.dat,1709754019_public_suffix_list.dat,77,24,static
superdesk_web-publisher.dat,1683237144_public_suffix_list.dat,97,55,dynamic
taomujian_linbing.dat,Unknown,,,
Tencent_TencentKona-11.dat,1699030037_public_suffix_list.dat,329,49,static
Tencent_TencentKona-17.dat,1699030037_public_suffix_list.dat,157,32,static
timeplus-io_proton.dat,1606773323_public_suffix_list.dat,1599,71,dynamic
Twi1ight_TSpider.dat,1491603331_public_suffix_list.dat,70,21,static
uclasystem_MemLiner.dat,1548699370_public_suffix_list.dat,30,8,static
uclasystem_Semeru.dat,1548699370_public_suffix_list.dat,65,6,static
vectordotdev_vector.dat,1718128924_public_suffix_list.dat,18344,1618,static
vectordotdev_vrl.dat,Unknown,,,
virtualmin_virtualmin-gpl.dat,1667846943_public_suffix_list.dat,345,107,dynamic
webprofusion_certify.dat,Unknown,,,
win-acme_win-acme.dat,1707792923_public_suffix_list.dat,818,5304,dynamic
XOOPS_XoopsCore25.dat,1719580503_public_suffix_list.dat,71,59,static
Y0-kan_YoScan.dat,Unknown,,,
yasserg_crawler4j.dat,1538584495_public_suffix_list.dat,4563,1926,dynamic
yodaos-project_yodaos.dat,Unknown,,,
Yubico_python-fido2.dat,Unknown,,,
YunaiV_openjdk.dat,1527128766_public_suffix_list.dat,,,
Zensavona_domainatrex.dat,1706310844_public_suffix_list.dat,38,17,dynamic
zhupingqi_RuiJi.Net.dat,Unknown,,,
